Employee ID,Name,Age,Department,Salary,Salary Range,Senior Employee with High Salaries
1008,Mr. Ruben Evans,49.0,HR,93548.0,Medium,False
1020,Ernest Gates,26.0,Finance,83361.0,Medium,False
1022,Michael Hudson,40.0,Marketing,91849.0,Medium,False
1023,Kevin Ryan,35.0,Operations,99448.0,Medium,False
1023,Austin Crawford,41.0,IT,55821.0,Medium,False
1024,Sandy Aguilar,26.0,Finance,99213.0,Medium,False
1036,Isaac Day,42.0,Marketing,52637.0,Medium,False
1036,Andrew Richardson,24.0,Finance,79727.0,Medium,False
1039,Shannon Saunders,27.0,Finance,101054.0,High,False
1045,William Tucker,53.0,Sales,65766.0,Medium,False
1064,Jeffery Nguyen,34.0,Finance,44352.0,Low,False
1070,Shannon Davidson,42.0,HR,40568.0,Low,False
1072,Beth Johnston,34.0,Admin,68985.0,Medium,False
1081,Derrick Jacobs,40.0,Admin,58839.0,Medium,False
1082,Angela Gray,49.0,IT,71385.0,Medium,False
1084,David Hale,34.0,IT,112882.0,High,False
1090,Shannon Reyes,58.0,Operations,66847.0,Medium,False
1092,Debra Jones,59.0,Operations,79859.0,Medium,False
1106,Andrea Lopez,40.0,Finance,47246.0,Low,False
1108,Tiffany Murphy,21.0,Sales,79859.0,Medium,False
1118,Martin Warren,55.0,Finance,65255.0,Medium,False
1137,William Morgan,44.0,IT,79859.0,Medium,False
1139,Caitlin Rodriguez,52.0,Admin,46831.0,Low,False
1142,Travis Reid,50.0,Admin,60744.0,Medium,False
1144,Karen Rowland,22.0,IT,58074.0,Medium,False
1151,Carrie Nelson,47.0,Admin,114559.0,High,False
1156,Kimberly Hernandez,20.0,Marketing,100166.0,High,False
1159,Brittney Reynolds,39.0,Operations,70914.0,Medium,False
1164,Tammy Miller,30.0,Marketing,60694.0,Medium,False
1166,James Reynolds,59.0,Marketing,81003.0,Medium,True
1168,James Baker PhD,41.0,Admin,79859.0,Medium,False
1190,Leslie Tucker,26.0,Finance,79859.0,Medium,False
1194,Megan Morales,54.0,Admin,48397.0,Low,False
1205,Tamara Fritz,39.0,HR,79044.0,Medium,False
1208,Matthew Summers,29.0,Operations,74534.0,Medium,False
1220,Noah Simmons,27.0,IT,61974.0,Medium,False
1239,Kevin Simpson,54.0,Sales,113527.0,High,True
1246,Isaiah Park,43.0,IT,106850.0,High,False
1248,Dr. Vincent Blanchard,40.0,IT,51668.0,Medium,False
1250,Nancy Lee,45.0,Admin,48582.0,Low,False
1252,Katherine Taylor,42.0,Finance,105853.0,High,False
1261,Olivia Cobb,56.0,IT,118688.0,High,True
1272,Daniel Reese,39.0,Operations,45684.0,Low,False
1279,Jeremy Walker,36.0,Operations,71152.0,Medium,False
1292,Mrs. Pamela Murphy,36.0,Operations,96980.0,Medium,False
1295,Stephen Byrd,50.0,Marketing,78163.0,Medium,False
1298,Mary Crawford,32.0,Operations,101340.0,High,False
1298,Lisa Nelson,27.0,Sales,107617.0,High,False
1306,David Cobb,40.0,Admin,82715.0,Medium,False
1321,Brent Kelly MD,40.0,Marketing,43302.0,Low,False
1324,John Lyons,40.0,Marketing,84584.0,Medium,False
1330,Margaret Thomas,28.0,IT,91940.0,Medium,False
1346,Shannon Sampson,20.0,Admin,88243.0,Medium,False
1346,Glenn Gonzales,53.0,Sales,59597.0,Medium,False
