Employee ID,Name,Age,Department,Salary
84288,Molly Johnson,46.0,IT,118377.0
81651,Brandi Hill,58.0,HR,56542.0
55037,Joshua Thomas,40.0,Finance,76093.0
13699,George Terry,53.0,Sales,42896.0
68662,Anna Wilkinson,45.0,Sales,66665.0
22920,Stephen Carter,43.0,Finance,57427.0
21352,Tonya Douglas,38.0,IT,79765.0
53478,Diane Nelson,53.0,Finance,50736.0
55742,Teresa Cox,36.0,Sales,116550.0
38877,Kendra Cannon,38.0,,115821.0
57660,Scott Holmes,54.0,Operations,72615.0
79344,Melanie Guzman,44.0,Sales,62587.0
61879,James Lindsey,37.0,Operations,66655.0
1841,William Aguirre,,IT,64257.0
56629,Ryan Price,42.0,Finance,50434.0
91602,Laura Peck,43.0,Operations,59629.0
95222,Nathan Bruce,59.0,HR,84061.0
32989,Robert Ochoa,37.0,IT,65098.0
55408,Anthony Hess,35.0,,72591.0
19957,Brad Jackson,50.0,Sales,76689.0
52515,Rachel Harris,21.0,Sales,98330.0
99357,Amanda Robinson,51.0,IT,89610.0
29873,Melissa Smith,20.0,Sales,42350.0
50575,Rebecca Ramos,24.0,HR,53647.0
99571,Brent Greene,,Marketing,74175.0
52318,Kristin Weaver,,IT,73917.0
54862,Dustin Carter,28.0,Operations,50843.0
3750,Mrs. Tracy Cannon MD,,Sales,85065.0
23723,Andrew Garcia,48.0,,98687.0
80821,Kristin Hansen,,Marketing,44841.0
20994,Adrian Lane,39.0,Sales,75618.0
85606,James Lynn,56.0,Finance,48288.0
72076,Yvonne Oliver,48.0,Admin,62671.0
30230,Amanda Mcclure,58.0,Operations,86566.0
38806,Heather Rodriguez,56.0,Finance,51819.0
75824,Tiffany Perez,32.0,Marketing,91666.0
44431,Kenneth Francis,47.0,Admin,99175.0
10402,Gregory Cowan,44.0,Admin,
3907,Melissa Taylor,31.0,,40899.0
9997,Randy Richard,55.0,Admin,
6625,Jonathan Hutchinson,59.0,Sales,55073.0
86986,Denise Mcdonald,50.0,Operations,117040.0
57610,Jason Wolfe,60.0,Finance,118839.0
90989,Joel Faulkner,58.0,IT,117418.0
56698,April Lopez,35.0,Admin,61424.0
74454,Jonathan Martinez,45.0,,
81510,Vanessa Robertson,37.0,IT,
91465,Kimberly Mullins,47.0,Sales,67204.0
56785,Joseph Rios,57.0,IT,56938.0
6150,Angela Munoz,,Admin,103548.0
28485,Thomas Hayes DVM,58.0,Finance,48087.0
50236,Kathy Smith,23.0,Sales,50077.0
92746,Crystal Ross,39.0,,81731.0
13407,Cynthia Wall,41.0,Sales,117806.0
40269,Jonathan Yates,30.0,IT,91033.0
47907,Jeffrey Banks,31.0,Sales,60816.0
99830,Joshua Warren,44.0,Finance,52473.0
14843,Lindsey Gutierrez,53.0,HR,69264.0
90438,Kenneth Murillo,32.0,HR,52192.0
39567,Patricia Coleman,44.0,Marketing,68726.0
30920,Diane Miller PhD,20.0,Finance,118597.0
27563,Michael Herman,33.0,HR,82845.0
52459,Steven Stewart,24.0,Marketing,44825.0
64726,Kelly Burnett,22.0,Marketing,98018.0
38426,Brent Dawson,21.0,Sales,47988.0
90922,Pamela Jackson,,Finance,67746.0
75382,Darren Hunter,45.0,HR,104537.0
82813,Jonathan Floyd,25.0,IT,84986.0
97874,James Stephens,34.0,Admin,108703.0
20308,Mark Harmon Jr.,42.0,IT,85361.0
4399,Linda Oconnor,35.0,Admin,50923.0
62818,Lisa Colon,49.0,Marketing,49043.0
77529,Jeffery Dalton,54.0,Admin,69349.0
30032,Katie Smith,37.0,HR,90266.0
12815,Cheryl Burton,37.0,Operations,66703.0
43191,Krista Smith,51.0,,101498.0
80160,Kathy Miller,,Sales,98660.0
6637,Toni Barker,20.0,Operations,83784.0
47614,John Macias,40.0,,101127.0
82737,Jeffrey Travis,59.0,Operations,55849.0
74707,Jennifer Shaffer,60.0,Admin,69489.0
45496,Juan Hickman,47.0,Sales,114535.0
19368,Stephanie West,47.0,HR,61795.0
90271,Brandon Jackson,25.0,Finance,109999.0
94360,Christy Morgan,55.0,IT,42061.0
67106,Gerald Leon,29.0,IT,
1745,Victoria Martinez,25.0,Sales,62300.0
7379,Riley Chandler,28.0,Operations,76180.0
86531,John Morgan,,HR,77857.0
53873,Randall Williams,32.0,Marketing,67606.0
53386,Frank Cooper,45.0,IT,67612.0
66144,Emma Black,33.0,Operations,110216.0
7318,Danny Hall PhD,42.0,IT,110870.0
53158,Shelby Brown,60.0,Marketing,
84177,Megan Campbell,45.0,IT,51256.0
5810,Amber Patterson,50.0,Sales,82628.0
35152,Connie Brown,,HR,66056.0
75485,Alexis Townsend,24.0,HR,63124.0
76717,Taylor Lewis,58.0,Operations,78299.0
55433,Robert Campbell,42.0,HR,84056.0
62589,Gabriel Henry,24.0,Marketing,
67340,Crystal Scott,21.0,IT,96032.0
83866,Amy Gonzalez,52.0,Finance,60192.0
79210,Gabrielle Shah,34.0,Finance,58372.0
57096,Amber Collins,59.0,Finance,81427.0
30940,Robert Gonzales,21.0,,83993.0
74653,Kevin Miller,49.0,HR,111656.0
22716,Heidi Nelson,46.0,Admin,78320.0
14422,Courtney Fernandez,59.0,,71267.0
80880,Edwin Copeland,44.0,HR,67385.0
51678,Tracy Hart,,Finance,53356.0
26896,Jonathan Fisher,45.0,HR,103252.0
67481,Karen Hahn,42.0,Sales,66692.0
75531,Rachael Miller,22.0,Marketing,71042.0
68328,William Bowers,,Sales,82422.0
25294,Tammy Long,27.0,IT,72666.0
54814,Emily Smith MD,28.0,Finance,104516.0
4289,Monica Robinson,21.0,Finance,47342.0
2265,Timothy Mcintosh,45.0,,85694.0
22747,Christopher Garcia,20.0,IT,95875.0
49669,Sandy Phillips,48.0,,105242.0
90770,Brittany Thomas,56.0,,52123.0
97158,Steven Walker,30.0,Finance,110183.0
68603,Juan Davis,53.0,Marketing,98032.0
42886,Tamara Rodriguez,,Finance,61839.0
63592,Donald Hunt,,Sales,89210.0
75388,Kenneth Gray MD,45.0,HR,80942.0
62911,Crystal Palmer,,,
30242,Jacqueline Gray,38.0,,95813.0
53476,Thomas George MD,35.0,HR,96641.0
8009,Richard Shepherd,50.0,Admin,
29965,Denise Brown,41.0,Admin,83613.0
3735,Daniel Powell,58.0,IT,95548.0
30692,Sheryl Willis,,Operations,
46164,Jonathan Young,20.0,Admin,92920.0
34029,Carolyn Hogan,46.0,Finance,82094.0
30893,Colin Warren,33.0,Operations,
9151,Dennis Edwards,38.0,Operations,117885.0
88329,Matthew Burke,34.0,IT,103862.0
74419,Hector Carey,40.0,HR,56698.0
43747,Jason Hoover,44.0,Operations,86433.0
43598,Johnny Jacobs III,26.0,Marketing,117524.0
46503,Timothy Arnold,34.0,,81799.0
33997,Daniel Scott,35.0,,103537.0
18631,Tamara Stewart,,,53644.0
70285,Patrick Miller,47.0,Operations,51203.0
91746,Kelly Ashley,26.0,,93337.0
82920,David Osborne,34.0,Admin,58779.0
74896,Jenny Jensen,40.0,Finance,102212.0
2543,Kevin Vargas,48.0,,73318.0
19163,Jim Young,42.0,IT,94287.0
22517,Kevin Lambert,39.0,Marketing,70113.0
63780,Dennis Hubbard,49.0,IT,79055.0
14044,Denise Howe,43.0,Finance,77982.0
2747,Keith Cook,56.0,IT,116600.0
74705,Jennifer Miller,47.0,,54776.0
36616,Alexander Ray,60.0,Admin,98927.0
8666,Ann Mcmahon,41.0,IT,
5284,Melanie Scott,58.0,Marketing,86523.0
46682,Michael Rose,59.0,Admin,
13077,Lisa Allen,51.0,Sales,81530.0
6829,Kenneth Garcia,40.0,HR,81771.0
85904,Mark Bradford,46.0,IT,40451.0
55448,Krista Morales,57.0,Marketing,44929.0
72493,Jennifer Ray,50.0,HR,61972.0
84984,Stephanie Combs,32.0,Sales,75543.0
97319,Megan Benton,56.0,HR,
55961,Anna Johnson,28.0,Marketing,114785.0
46995,Robert Hill,,,51856.0
9481,Natasha Calhoun,35.0,Marketing,46059.0
6914,Jessica Sharp,42.0,Marketing,98571.0
38035,Joel Smith,54.0,,71015.0
64810,Victoria Sellers,36.0,Admin,89855.0
12599,Tiffany Robertson,34.0,Operations,80615.0
18165,Jennifer Trevino,30.0,Marketing,
10468,Shawn Anderson,46.0,Finance,68765.0
48735,Allison Taylor,,HR,110582.0
62381,Justin Warner,40.0,,86080.0
90775,Thomas Andersen,50.0,Sales,44383.0
1894,Anthony Bishop,35.0,HR,
84206,Thomas Morrow,,Operations,65464.0
14715,Shane Fischer,23.0,Operations,100859.0
60426,Megan Gomez,47.0,Operations,49420.0
83376,Sarah Morgan,52.0,Marketing,64679.0
9587,Taylor Mcmahon,41.0,IT,102260.0
53833,Christopher Leon,21.0,Admin,101050.0
71575,Stephanie Clayton,45.0,HR,79974.0
92029,Allison Jones,50.0,Sales,112937.0
33485,Leonard Moreno,26.0,Admin,107272.0
16265,Kristen Duffy,50.0,Finance,78021.0
98509,Henry Simmons,36.0,Sales,92347.0
89179,David Rios,35.0,HR,59221.0
54807,Mary Edwards,,Operations,88801.0
40534,Mr. Kenneth Barber,59.0,HR,81967.0
44008,Timothy May,46.0,Marketing,43088.0
1008,Mr. Ruben Evans,49.0,HR,93548.0
64067,Jason Vasquez,25.0,Sales,42990.0
3018,Sydney Lang DDS,47.0,Admin,86296.0
25580,Steven Moore,23.0,Admin,
20119,Sheila Moore,24.0,Finance,64344.0
55813,Laura Mccullough,36.0,Finance,93631.0
1571,Sarah Stephens,,Operations,
47710,Arthur Vega,,Admin,60299.0
46989,Mark Medina,34.0,IT,52730.0
7361,Walter Oliver,41.0,Admin,41692.0
58802,Kyle Carroll,,,48734.0
59702,Thomas Andrews,44.0,HR,
24197,Austin Leonard,29.0,Sales,61815.0
29490,Monique Smith,37.0,IT,88829.0
49679,Rachel Silva,36.0,,114542.0
6753,Sherri Morgan,48.0,Finance,59981.0
22404,Jennifer Downs,23.0,HR,108132.0
81141,Anthony Farmer,39.0,IT,83563.0
35807,Mrs. Angela Wheeler,22.0,,67442.0
46661,Raymond Summers,22.0,Admin,
56367,Samantha Houston,42.0,IT,66063.0
65129,Ryan Jensen,51.0,Operations,72238.0
91385,Elizabeth Bell,56.0,Marketing,52886.0
68974,Susan Torres,50.0,Sales,90734.0
64711,Mary Craig,29.0,Sales,117736.0
41732,Katherine Luna,33.0,IT,107304.0
94210,Robert Reese MD,49.0,,54246.0
85573,Wanda Adams,27.0,Admin,104165.0
37357,Andrew Macdonald MD,41.0,Operations,64910.0
37278,Brittany Gonzales,23.0,Admin,80479.0
71244,Mrs. Julia Johnson,26.0,Operations,72426.0
64471,John Barrett,55.0,HR,103739.0
85255,Randy Pham,40.0,Sales,48825.0
13246,Anne Ross,58.0,,82784.0
87104,Brittany Reyes,34.0,Finance,50296.0
76341,Jeremy Hodges,45.0,Marketing,117293.0
2959,Patricia Herrera,37.0,Admin,
57811,Timothy Jackson,49.0,Finance,55565.0
7240,Kristina Gonzalez,27.0,Admin,88134.0
21486,Ashley Gordon,32.0,HR,63716.0
37879,Jason Wilkinson,58.0,IT,91160.0
61830,Christopher Smith,,Finance,51049.0
88001,Jacqueline Smith,29.0,Marketing,77776.0
38071,Antonio Dawson,46.0,Marketing,57859.0
2536,Ernest Allen,56.0,Marketing,
